fe_idx	fe_device_idx	fe_user_idx	fe_event_type	fe_event_value	fe_raw_data	fe_analysis_result	fe_timestamp
23105	4	\N	acceleration	0.620488	{"foot_type":"right","label":"waiting","speed":0.620487853490539,"tilt":8.66851515565807,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0.620487853490539,"tilt":8.66851515565807,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:55:22
23106	4	\N	acceleration	0.0165562	{"foot_type":"right","label":"waiting","speed":0.016556242027804584,"tilt":5.398157074844136,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0.016556242027804584,"tilt":5.398157074844136,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:55:30
23107	4	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":7.0990472458984755,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_left","label":"waiting","speed":0,"tilt":7.0990472458984755,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:55:37
23108	4	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.639658017743045,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0,"tilt":5.639658017743045,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:55:41
23109	4	\N	acceleration	0.338887	{"foot_type":"right","label":"waiting","speed":0.3388873572569404,"tilt":38.292854951691396,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0.3388873572569404,"tilt":38.292854951691396,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:57:07
23110	4	\N	acceleration	0.0440774	{"foot_type":"right","label":"waiting","speed":0.04407740508866174,"tilt":4.005133305323312,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0.04407740508866174,"tilt":4.005133305323312,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:57:20
23111	4	\N	acceleration	0.0971503	{"foot_type":"right","label":"waiting","speed":0.09715035141048338,"tilt":9.25063980584872,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0.09715035141048338,"tilt":9.25063980584872,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:59:15
23112	4	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":59.79733815891309,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_left","label":"waiting","speed":0,"tilt":59.79733815891309,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:59:20
23113	4	\N	acceleration	0.00264339	{"foot_type":"right","label":"waiting","speed":0.0026433931844685203,"tilt":51.68551891692587,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0.0026433931844685203,"tilt":51.68551891692587,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:59:23
23114	4	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":59.82042217140051,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_left","label":"waiting","speed":0,"tilt":59.82042217140051,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:59:31
23115	4	\N	acceleration	0.00210767	{"foot_type":"right","label":"waiting","speed":0.0021076745639475253,"tilt":55.418246430908695,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0.0021076745639475253,"tilt":55.418246430908695,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:59:32
23116	4	\N	acceleration	0.0595255	{"foot_type":"right","label":"waiting","speed":0.059525527078378326,"tilt":60.112814754512215,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0.059525527078378326,"tilt":60.112814754512215,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:59:41
23117	4	\N	acceleration	0.0277993	{"foot_type":"left","label":"waiting","speed":0.027799271222882654,"tilt":68.01507704308491,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_left","label":"waiting","speed":0.027799271222882654,"tilt":68.01507704308491,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:59:44
23118	4	\N	shuffling	0.0692428	{"foot_type":"right","label":"drag","speed":0.06924276938489113,"tilt":63.07557594031432,"confidence":0.9982768297195435,"probabilities":[0.9982768297195435,0.001722149783745408,0.0000010985442031596904]}	{"channel":"SLOT-4_right","label":"drag","speed":0.06924276938489113,"tilt":63.07557594031432,"confidence":0.9982768297195435,"probabilities":[0.9982768297195435,0.001722149783745408,0.0000010985442031596904]}	2026-01-06 08:59:50
23119	4	\N	acceleration	0.162968	{"foot_type":"left","label":"waiting","speed":0.1629683385604434,"tilt":69.18102999740306,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_left","label":"waiting","speed":0.1629683385604434,"tilt":69.18102999740306,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:59:58
23120	4	\N	acceleration	0.186017	{"foot_type":"right","label":"waiting","speed":0.18601697348789994,"tilt":72.38540170956426,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-4_right","label":"waiting","speed":0.18601697348789994,"tilt":72.38540170956426,"confidence":1,"probabilities":[0,0,0]}	2026-01-06 08:59:58
